sampleID	p_Euryarchaeota	p_Actinobacteria	p_Bacteroidetes	p_Cyanobacteria	p_Deferribacteres	p_Firmicutes	p_Fusobacteria	p_Patescibacteria	p_Proteobacteria	p_Tenericutes	p_Verrucomicrobia	k_Bacteria	k_Eukaryota	Unassigned
255-7-1h	0	20	982	0	18	812	0	0	192	1	0	2	0	0
261-7-2h	0	13.5	1111.5	22	10.5	725.5	0	0	133	6	0	4.5	0	0.5
278-7-2h	0	17	844	0	6	1122	0	0	33.5	1	0	3.5	0	0
280-7-2h	0	13.5	659	4	3.5	1186	0	0	158	0.5	0	2.5	0	0
246-7-1h	0	12	595	3	76	1126	0	0	214	1	0	0	0	0
246-7-2h	0	25	704	1	5	1163	0	0	128	0	0	1	0	0
246-7-3h	0	33	729	6	0	1104	0	0	152	0	0	3	0	0
264-7-1h	0	9	716	12	77	992	0	0	213	7	0	0	1	0
264-7-2h	0	12	829	14	8	1022	0	0	138	1	0	3	0	0
264-7-3h	1	11	644	4	5	1231	0	0	127	2	0	2	0	0
280-7-1h	0	4	583	4	50	1189	0	0	194	0	0	3	0	0
286-7-1h	0	7	677	9	88	1012	0	0	226	3	0	4	0	1
286-7-2h	0	18	762	6	3	1105	0	0	130	0	0	3	0	0
286-7-3h	0	16	833	13	1	1074	0	0	89	0	0	1	0	0
247-7-1h	0	8	492	0	24	1338	0	0	162	1	0	2	0	0
247-7-2h	0	23	638	1	2	1216	0	0	146	0	0	1	0	0
247-7-3h	0	12	646	0	3	1212	0	0	151	1	0	1	1	0
271-7-1h	2	4	611	2	76	1106	0	0	222	0	0	4	0	0
271-7-3h	0	13	633	0	2	1201	0	0	174	0	0	4	0	0
271-7-4h	0	18	641	1	2	1220	0	0	142	0	0	2	0	1
281-7-1h	0	11	483	0	33	1229	0	0	267	0	0	4	0	0
281-7-2h	0	17	703	0	0	1184	0	0	113	0	0	10	0	0
281-7-3h	0	17	735	1	1	1173	0	0	94	0	0	5	0	1
287-7-1h	0	15	688	0	34	1029	0	0	260	0	0	1	0	0
287-7-2h	0	20	700	0	2	1220	0	0	79	0	0	6	0	0
287-7-3h	0	22	892	0	5	989	0	0	115	0	0	3	0	1
253-7-1h	0	10	270	0	64	1605	0	6	71	0	0	1	0	0
253-7-2h	0	17	287	0	1	1655	0	6	61	0	0	0	0	0
272-7-1h	0	25	410	0	21	1460	0	16	91	1	0	3	0	0
272-7-2h	0	20	351	0	4	1564	0	4	83	0	0	0	0	1
292-7-1h	0	11	353	0	51	1516	0	3	91	0	0	2	0	0
292-7-2h	0	12	340	0	2	1578	0	3	87	1	0	3	0	1
292-7-3h	0	13	456	0	1	1440	0	0	112	2	0	2	0	1
318-7-1h	0	8	557	0	2	1328	0	3	128	1	0	0	0	0
