sampleID	f_Atopobiaceae	g_Enterorhabdus	g_Parvibacter	f_Eggerthellaceae;g_uncultured	g_Bacteroides	g_Odoribacter	g_Muribaculum	f_Muribaculaceae;g_uncultured Bacteroidales bacterium	f_Muribaculaceae;g_uncultured bacterium	f_Muribaculaceae	g_Alloprevotella	g_Prevotellaceae UCG-001	g_Alistipes	g_Rikenellaceae RC9 gut group	g_Parabacteroides	o_Gastranaerophilales;f_uncultured bacterium;g_uncultured bacterium	g_Mucispirillum	g_Bacillus	g_Listeria	g_Staphylococcus	g_Enterococcus	g_Lactobacillus	g_Streptococcus	g_Christensenellaceae R-7 group	f_Christensenellaceae;g_uncultured	g_Clostridium sensu stricto 1	f_Clostridiales vadinBB60 group;g_uncultured bacterium	g_Defluviitaleaceae UCG-011	g_Anaerofustis	g_Anaerovorax	g_Family XIII AD3011 group	g_[Eubacterium] brachy group	g_[Eubacterium] nodatum group	f_Lachnospiraceae;g_A2	f_Lachnospiraceae;g_ASF356	g_Acetatifactor	g_Blautia	f_Lachnospiraceae;g_GCA-900066575	g_Lachnoclostridium	g_Lachnospiraceae FCS020 group	g_Lachnospiraceae NK4A136 group	g_Lachnospiraceae UCG-006	g_Marvinbryantia	g_Roseburia	g_Tyzzerella	g_[Eubacterium] xylanophilum group	f_Lachnospiraceae;g_uncultured	f_Lachnospiraceae	g_Peptococcus	f_Peptococcaceae;g_uncultured	g_Romboutsia	f_Peptostreptococcaceae	g_Anaerotruncus	g_Angelakisella	g_Butyricicoccus	g_Candidatus Soleaferrea	f_Ruminococcaceae;g_GCA-900066225	g_Harryflintia	g_Intestinimonas	g_Oscillibacter	g_Ruminiclostridium	g_Ruminiclostridium 1	g_Ruminiclostridium 5	g_Ruminiclostridium 9	g_Ruminococcaceae NK4A214 group	g_Ruminococcaceae UCG-003	g_Ruminococcaceae UCG-004	g_Ruminococcaceae UCG-009	g_Ruminococcaceae UCG-010	g_Ruminococcaceae UCG-013	g_Ruminococcaceae UCG-014	f_Ruminococcaceae;g_UBA1819	g_[Eubacterium] coprostanoligenes group	f_Ruminococcaceae;g_uncultured	f_Ruminococcaceae	g_Dubosiella	g_Erysipelatoclostridium	g_Faecalibaculum	g_Turicibacter	f_Erysipelotrichaceae;g_uncultured	f_Erysipelotrichaceae;g_uncultured bacterium	f_Erysipelotrichaceae	g_Candidatus Saccharimonas	g_Azospirillum sp. 47_25	o_Rhodospirillales;f_uncultured;g_unidentified rumen bacterium RF32	g_Bilophila	g_Desulfovibrio	f_Desulfovibrionaceae;g_uncultured	g_Parasutterella	g_Escherichia-Shigella	f_Enterobacteriaceae	g_Pseudomonas	g_uncultured Lachnospiraceae bacterium	o_Mollicutes RF39;f_uncultured bacterium;g_uncultured bacterium	o_Mollicutes RF39;f_unidentified;g_unidentified	o_Mollicutes RF39	g_Akkermansia	k_Bacteria
255-7-1h	0	26	0	0	90	71	33	8	484	68	459	0	575	96	293	0	39	1	0	0	0	55	7	0	19	0	11	7	0	0	0	0	2	0	2	1	139	26	42	1	131	8	67	8	14	30	2	268	0	17	99	0	9	2	2	1	3	0	12	48	17	0	44	22	0	5	9	11	3	0	5	2	59	0	70	0	11	147	0	0	0	1	0	2	0	3	0	391	5	1	0	3	0	5	1	2	0	0
261-7-2h	0	22	0	0	206	62	35	3.5	666	57.5	202	0	564.5	169	271.5	50.5	24	0	0	1	0	40.5	7.5	1.5	8.5	0	0	2.5	0	1.5	1	0	2	0	0	2	268.5	9.5	23.5	1.5	98.5	0.5	132	0	12	3	16.5	189.5	1	18	101.5	0	11.5	1	0	4	5	0	13.5	59	51.5	0	26	29	1.5	0	6	6	4	0	9	0	94.5	0	127.5	0	2.5	84	0	0	2.5	0	1	7	1.5	0	0	256.5	2.5	0	0	0	0	11.5	0	0	0	0
278-7-2h	14.5	23	0	0	104	71.5	7	5.5	351	111.5	431.5	0	429.5	195.5	27	0	14	0	0	0	0.5	67.5	5.5	1.5	0	0	22	0	0	0	0	0	0	0	0	6.5	93	0	0	0	6	0	1.5	3.5	3.5	0	0	188	0	1	197.5	0	2	0	0	0	0	0	2.5	8.5	14	1	6	4.5	0	0	0.5	1.5	3.5	0	6	0	89	0	17.5	461.5	0	1028.5	0	0	0	0	0	9	0	0	0	51	3	0.5	0	0	0	0	0	2	0	0
280-7-2h	2	14	0	0	148	80	18	3	341	160	97	0	245	211	15	4	9	0	0	0	0	130	12	0	9	22	7	0	0	2	0	1	0	5	2	6	202	8	14	0	32	0	39	4	15	0	11	338	1	6	137	3	7	5	0	3	2	0	6	51	39	0	28	73	0	3	3	5	4	0	1	2	44	23	41	190	0	911	4	0	0	0	0	4	0	5	5	277	4	0	0	0	0	0	1	1	0	0
246-7-1h	2	13	3	1	195	49	8	8	294	108	108	0	303	104	12	8	159	0	0	0	3	70	2	0	0	9	8	0	0	1	0	0	0	5	0	4	302	16	16	5	47	4	11	11	12	0	4	381	4	12	69	0	2	24	4	3	8	0	14	70	42	0	30	60	0	3	4	8	1	0	6	0	22	10	67	134	1	734	3	0	0	0	0	0	0	3	0	469	2	0	0	0	0	0	0	0	0	0
246-7-2h	0	50	0	0	189	61	13	0	328	163	163	0	285	191	13	10	8	0	0	0	0	146	3	0	0	38	1	0	0	0	0	1	0	1	0	4	199	10	7	0	29	1	19	5	19	0	1	288	1	6	190	2	1	8	2	2	7	0	6	57	24	0	18	27	0	0	0	4	0	0	0	1	29	9	30	155	0	955	7	0	0	0	0	2	0	2	0	294	5	5	0	0	0	0	0	0	0	0
246-7-3h	9	50	0	0	203	71	17	7	417	172	187	0	319	153	11	13	4	0	0	0	0	82	5	0	0	46	8	0	0	2	0	0	3	4	0	4	170	6	0	0	28	0	29	4	14	0	2	272	1	3	144	0	0	7	2	0	1	0	8	29	16	0	18	31	0	2	0	8	0	0	0	0	19	0	28	190	0	1021	5	0	1	0	0	0	0	4	0	238	5	1	0	0	0	0	0	1	0	0
264-7-1h	1	14	0	0	248	90	8	0	331	91	210	0	328	194	35	15	155	0	0	0	0	231	6	0	0	52	21	0	0	0	0	1	0	1	0	20	268	3	0	0	22	8	40	1	11	0	4	285	3	13	65	0	9	13	0	2	7	0	4	62	34	0	34	50	0	2	5	7	0	0	6	4	16	8	62	92	0	506	11	0	0	0	0	0	0	2	0	354	1	19	0	0	0	8	0	2	0	0
264-7-2h	1	16	0	0	214	70	7	5	399	112	291	0	346	174	35	27	11	0	0	0	2	142	12	0	1	74	15	0	0	0	0	0	0	3	0	7	185	6	0	0	8	0	33	1	8	0	2	216	0	7	184	4	7	4	0	0	7	0	0	27	26	0	20	33	0	0	6	7	2	0	1	1	15	8	28	132	0	832	30	0	0	0	0	5	0	4	0	232	0	37	0	0	0	12	0	1	0	0
264-7-3h	4	20	0	0	170	44	17	0	317	106	134	0	293	189	19	5	10	0	0	0	0	202	16	0	6	53	5	0	0	0	0	0	0	2	0	15	230	2	0	0	12	0	45	0	9	0	8	159	0	2	236	6	0	0	2	0	9	0	0	32	11	0	13	30	0	2	2	5	0	0	0	2	23	4	46	183	0	1072	32	0	0	0	0	0	0	2	0	253	4	23	0	0	0	9	0	0	0	0
280-7-1h	0	12	0	0	139	70	10	5	309	143	60	0	265	192	14	4	116	0	0	0	0	105	5	0	5	17	7	1	0	1	0	3	0	8	2	10	312	12	2	0	40	3	27	14	20	0	11	383	2	12	71	0	15	16	0	2	4	1	9	64	49	0	22	86	0	0	4	8	2	0	0	4	38	30	92	140	0	752	4	0	0	0	0	2	0	1	3	334	1	0	0	0	0	0	0	0	0	0
286-7-1h	0	13	0	0	228	62	8	8	317	118	122	0	296	186	17	26	155	0	0	0	2	91	6	0	5	15	10	0	0	0	0	0	1	5	0	13	270	20	0	0	43	0	24	12	18	0	6	398	0	20	27	0	6	13	4	0	13	2	4	81	40	0	48	61	0	0	7	9	4	0	7	5	32	7	96	90	0	553	0	0	0	0	0	6	0	0	0	461	0	2	0	0	0	2	0	0	0	0
286-7-2h	2	37	1	2	188	77	10	2	383	135	201	0	356	225	19	27	8	0	0	0	0	153	9	0	1	18	11	0	0	0	0	0	1	0	0	14	166	4	0	6	23	1	34	4	15	0	3	273	3	5	123	0	4	6	1	1	8	1	4	44	13	0	29	30	0	0	5	6	3	0	15	0	51	5	53	184	0	831	2	0	0	0	0	4	0	1	1	241	0	11	0	0	0	1	0	0	0	0
286-7-3h	1	43	0	0	168	68	17	6	452	165	189	0	402	216	13	25	0	0	0	0	0	114	6	0	4	23	5	5	0	0	0	2	3	0	0	11	182	5	4	0	19	0	70	0	9	0	5	178	0	2	177	5	0	4	0	2	2	0	0	24	15	0	13	24	0	0	4	0	0	0	4	1	58	4	45	190	0	911	7	0	0	0	0	7	0	0	0	168	4	13	0	0	0	1	0	0	0	0
247-7-1h	0	15	0	0	106	41	16	12	228	94	114	0	203	224	25	0	59	0	0	0	0	290	9	0	7	53	9	1	0	5	0	0	4	0	0	4	29	12	7	0	48	1	13	7	17	0	9	404	5	2	127	0	7	16	0	0	9	0	11	44	38	2	30	18	0	0	2	10	2	0	1	1	26	3	77	164	0	1075	4	0	0	0	0	2	0	2	0	337	13	1	0	0	0	0	0	0	0	0
247-7-2h	2	23	0	1	155	48	13	5	201	139	131	0	282	244	25	4	5	0	0	0	0	192	6	0	4	28	3	0	0	0	0	0	0	0	0	13	23	11	14	0	28	1	22	5	11	0	9	331	1	1	110	1	3	11	0	0	6	0	7	27	18	2	20	12	0	0	2	4	0	0	2	0	24	2	50	198	0	1314	0	0	0	0	0	0	0	2	0	277	22	0	0	0	0	0	0	0	0	0
