sampleID	f_Atopobiaceae	g_Enterorhabdus	g_Bacteroides	g_Odoribacter	g_Muribaculum	f_Muribaculaceae;g_mouse gut metagenome	f_Muribaculaceae;g_uncultured Bacteroidales bacterium	f_Muribaculaceae;g_uncultured bacterium	f_Muribaculaceae	g_Alloprevotella	g_Prevotellaceae UCG-001	g_Alistipes	g_Rikenellaceae RC9 gut group	g_Parabacteroides	o_Gastranaerophilales;f_uncultured bacterium;g_uncultured bacterium	o_Gastranaerophilales	g_Mucispirillum	g_Enterococcus	g_Lactobacillus	g_Streptococcus	g_Christensenellaceae R-7 group	f_Christensenellaceaeg_uncultured	f_Clostridiales vadinBB60 group;g_uncultured Clostridia bacterium	f_Clostridiales vadinBB60 group;g_uncultured bacterium	f_Clostridiales vadinBB60 group	g_Defluviitaleaceae UCG-011	g_Anaerofustis	g_Anaerovorax	g_Family XIII AD3011 group	g_Family XIII UCG-001	g_[Eubacterium] brachy group	g_[Eubacterium] nodatum group	f_Lachnospiraceae;g_A2	f_Lachnospiraceae;g_ASF356	g_Acetatifactor	g_Blautia	f_Lachnospiraceae;g_GCA-900066575	g_Lachnoclostridium	g_Lachnospiraceae FCS020 group	g_Lachnospiraceae NK4A136 group	g_Lachnospiraceae UCG-001	g_Lachnospiraceae UCG-006	g_Lachnospiraceae UCG-010	g_Marvinbryantia	g_Roseburia	g_Tyzzerella	g_Tyzzerella 3	g_[Eubacterium] xylanophilum group	f_Lachnospiraceae;g_uncultured	f_Lachnospiraceae	g_Peptococcus	f_Peptococcaceae;g_uncultured	g_Anaerotruncus	g_Angelakisella	g_Butyricicoccus	g_Candidatus Soleaferrea	f_Ruminococcaceae;g_GCA-900066225	g_Harryflintia	g_Intestinimonas	g_Negativibacillus	g_Oscillibacter	g_Ruminiclostridium	g_Ruminiclostridium 5	g_Ruminiclostridium 6	g_Ruminiclostridium 9	g_Ruminococcaceae NK4A214 group	g_Ruminococcaceae UCG-003	g_Ruminococcaceae UCG-004	g_Ruminococcaceae UCG-005	g_Ruminococcaceae UCG-009	g_Ruminococcaceae UCG-010	g_Ruminococcaceae UCG-013	g_Ruminococcaceae UCG-014	g_Ruminococcus 1	f_Ruminococcaceae;g_UBA1819	g_[Eubacterium] coprostanoligenes group	f_Ruminococcaceae;g_uncultured	f_Ruminococcaceae	g_Candidatus Stoquefichus	g_Erysipelatoclostridium	g_Faecalibaculum	g_Turicibacter	f_Erysipelotrichaceae;g_uncultured	f_Erysipelotrichaceae;g_uncultured bacterium	f_Erysipelotrichaceae	g_Candidatus Saccharimonas	g_Azospirillum sp. 47_25	o_Rhodospirillales;f_uncultured;g_unidentified rumen bacterium RF32	g_Bilophila	g_Desulfovibrio	f_Desulfovibrionaceae;g_uncultured	g_Parasutterella	g_Escherichia-Shigella	g_Anaeroplasma	o_Mollicutes RF39;f_metagenome;g_metagenome	o_Mollicutes RF39;f_uncultured Firmicutes bacterium;g_uncultured Firmicutes bacterium	o_Mollicutes RF39;f_uncultured Lachnospiraceae bacterium;g_uncultured Lachnospiraceae bacterium	o_Mollicutes RF39;f_uncultured bacterium;g_uncultured bacterium	o_Mollicutes RF39;f_unidentified;g_unidentified	o_Mollicutes RF39	g_Akkermansia
495-120min	0	8	99	36	20	12	44	219	98	18	124	81	27	2	29	4	0	0	431	0	0	0	0	9	0	3	0	0	1	0	0	2	1	0	0	5	5	0	0	53	26	5	0	20	1	0	1	0	1	96	0	1	2	0	12	0	0	0	0	0	0	9	4	0	0	0	0	0	0	2	0	0	46	36	2	8	2	19	3	0	0	0	9	0	0	2	6	0	0	2	7	8	0	5	0	0	0	1	0	3	0
495-180min	0	9	54	75	24	9	35	154	88	9	72	115	10	0	16	6	3	0	183	0	0	0	0	17	0	0	0	0	0	0	0	0	4	1	0	11	4	0	0	183	27	0	0	24	3	0	4	0	3	221	0	4	8	0	39	0	0	1	1	0	0	33	12	4	0	0	8	3	4	2	0	2	38	54	2	3	3	41	0	0	0	0	6	0	0	2	0	0	0	3	20	5	0	7	0	0	0	1	0	0	0
495-30min	0	13	44	38	41	17	72	222	91	7	60	39	9	0	5	3	6	0	186	0	0	0	0	12	0	7	0	0	0	3	0	0	5	0	0	12	10	0	0	152	18	0	0	26	8	0	0	0	10	228	0	6	24	0	27	0	0	0	0	0	4	15	26	5	14	0	7	5	0	0	0	2	78	15	2	5	0	35	4	0	0	0	12	0	0	2	0	0	0	6	10	8	0	14	0	0	0	0	0	0	0
495-60min	0	2	68	38	35	18	56	233	95	12	94	80	7	0	9	5	4	0	203	0	0	0	0	14	0	3	0	0	0	0	0	6	2	4	3	11	1	0	0	137	37	1	0	18	5	0	1	0	5	183	0	2	9	0	28	0	0	0	3	0	4	37	6	1	3	0	10	0	3	6	0	1	56	30	2	2	0	27	1	0	0	0	13	0	0	2	0	0	0	2	9	12	0	8	0	0	0	0	2	1	0
496-30min	0	17	62	47	20	0	40	93	76	1	0	151	29	0	0	0	0	0	124	4	0	0	0	3	0	0	0	0	0	0	0	0	10	4	7	8	11	42	0	207	0	8	0	6	38	0	0	32	26	282	0	3	4	0	11	0	0	0	0	0	5	43	16	32	9	1	0	6	0	3	0	1	35	8	9	3	0	23	0	0	0	0	0	5	0	4	0	0	0	15	43	3	0	28	0	0	0	9	0	0	3
496-60min	0	7	24	24	5	0	13	24	30	0	0	117	8	0	0	3	0	0	80	0	0	0	0	10	0	0	0	1	0	0	1	0	10	5	5	12	27	38	0	225	0	10	0	4	50	5	3	30	25	479	0	5	13	6	16	1	0	0	3	0	16	48	25	39	16	3	0	8	0	1	0	1	43	0	7	2	4	30	2	0	0	0	2	1	0	6	0	0	3	12	58	0	0	20	0	0	0	2	0	2	0
497-120min	0	9	108	26	6	0	74	171	117	14	28	207	13	0	0	0	0	0	263	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	84	0	8	0	49	7	0	2	7	12	95	0	2	4	0	5	0	0	0	0	0	0	24	10	0	4	4	9	2	0	0	0	10	124	68	2	5	0	16	0	0	13	0	6	0	0	0	4	0	0	0	21	4	0	10	0	0	0	13	0	0	0
497-180min	3	0	89	32	7	0	59	184	102	19	22	185	15	0	0	1	0	0	194	0	0	0	0	4	0	3	0	0	0	0	0	3	0	12	1	0	6	0	0	144	11	5	0	17	12	2	3	10	23	101	0	7	4	0	26	0	0	0	3	0	10	34	13	0	0	0	0	0	0	2	0	2	138	57	0	4	0	18	0	0	8	0	3	0	0	0	3	0	2	9	26	2	0	15	0	0	0	15	0	0	0
497-30min	0	9	105	16	7	0	98	253	195	20	26	109	5	0	0	4	0	0	133	0	0	0	0	3	0	0	0	0	1	0	2	2	3	4	0	0	3	4	0	86	3	7	0	41	10	0	0	5	4	109	0	1	10	2	25	0	0	0	0	0	6	8	7	0	8	3	0	6	0	0	0	6	156	37	0	6	3	21	3	0	24	0	9	0	0	0	3	0	0	2	10	9	0	17	0	0	0	21	0	0	0
497-60min	0	11	64	28	11	0	55	223	130	20	22	192	6	0	0	0	0	0	181	0	0	0	0	7	0	1	0	0	1	0	0	0	1	4	0	0	7	0	0	141	5	12	0	33	8	2	3	13	14	109	0	2	4	0	17	0	0	0	0	0	5	9	9	0	0	0	0	5	3	4	0	11	119	56	0	6	0	23	1	0	7	0	10	0	0	4	0	0	3	1	24	6	0	19	0	0	0	18	0	0	0
