mouse	CCL 5	mReg3	TLR4	CCL2	TNF
241	0.5	183.76	0.94	0.39	0.76
245	0.2	0.04	1.06	1.48	1.05
246	1.8	0.07	1.54	2.75	1.81
247	0.7		0.8	0.49	0.24
253	0.6	2.25	0.95	1.9	0.65
254	0.5	0.09	1	0.54	1.76
255	0.4	0.89	1.2	1.47	1.85
261		0.12	0.78	0.53	0.9
262	0.2	0.01	1.55	1.5	0.69
263	0.4	0.18	1.34	2.3	0.95
264		1.83	1.02	1.35	2.4
271	0.6	0.39	1.04	1.58	1.06
272	0.6	0.32	0.71	1.5	2.21
273	0.7	0.93	0.95	0.57	0.94
274	0.2	18.02	0.41	0.33	0.15
277	0.2	13.8	0.99	0.38	0.14
278	0.3	11.48	0.69	0.34	0.42
279	0.2	0.71	1.46	0.63	0.73
280	0.9	16.24	0.53	0.21	0.49
281	0.7	0.48	1.26	4.72	3.59
286	1.5		0.85	0.14	0.71
287	0.8	2.66	1.34	2.55	0.73
292	0.4	0.34	1.06	0.52	0.64
293	0.8		0.33	0.89	0.56
299	0.2	0.09	1.01	0.72	0.44
304	0.2	0.2	1.3	1.44	0.67
305	0.3	0.17	1.66	1.36	1.24
306	0.4	0.14	1.52	1.96	0.74
314	0.1	0.04	1.88	1.24	0.54
317		0.34	0.84		2.03
318	1	11.09		3.48	3.26
319	0.4	0.55	1.86	3.55	1.32
495	0.23	2.49	0.69	0.37	0.9
496	0.187	1.29	0.57	0.6	0.55
497	0.139	0.16	0.72	0.13	0.12
499	0.085	0.22	0.44	1	0.57
500	1.233	0.54			3.24
501	0.087	0.34	0.56	0.26	0.46
502			1.02		2.4
503	0.073	0.13	0.52	0.46	0.18
506	0.387	0.93	1.26	0.71	0.51
507	0.291	0.17	0.59	0.61	0.1
509	0.023	0.2	0.39	0.57	0.53
510		1.17	1.01		0
515	0.228	0.53	1.06	0.26	0.46
517		322.24			0
518	0.185	0.25	0.8	0.36	1.19
519	0.524	0.05	0.31		0.78
521	0.524	2.34	0.8		0.78
522	0.89	0.04	0.65		0.96
523	1.272	2.82	0.09	0.47	1.53
524	0.129	0.2	0.63	0.17	0.35
527	0	0.88	0.46		0.9
528	0.131	1.15	0.33	0.56	1.05
529	14.793	384.54	0.04	15.07	18.77
530	18.855	155.09	0.47	6.29	7.78
531	11.809	815.76	0.57	2.6	9.89
532	12.099	423.73	0.44	3.59	4.89
533	4.413	191.61	0.53	2.22	3.83
534	7.928	180.64	0.56	16.49	6.68
535	10.497	11.65	0.67		5.41
536	2.544	2.46	0.28	2.61	2.99
538	25.757	225.5	0.68	5.99	14.53
540	17.838	318.91	0.49	2.68	18.01
541	1.507	4.57	0.48		2.4
542	22.345	326.74	0.88	0.83	7.29
543	1.276	7.96	0.23	0.53	1.58
544	4.089	72.61	0.39	2.43	2.45
545	0.896	4.38	1.5	0.65	1.6
546	0.285	0.15	0.7	1.37	1.04
547	0.909	1.35	1.33	0.33	1.23
548	11.447	183.16	0.42	4.54	6.41
549	0	0.1	1.41		1.41
550		0.38	0.75	1.12	
553	23.213	185.72	0.35	1.96	4.96
554	13.195	355.08	0.74	1.17	4.07
555	2.398	355.08	0.34	0.74	4.68
556	6.877	5.84	0.71	3.65	6.94
557	3.099	38.64	0.81	0.82	2.15
558	12.701	154.02	0.69	2.22	6.02
559	2.517	11.33	0.4	3.89	4.74
560	0.554	30.63	1.2	0.72	1.11
561	0.129	0.5	1.56	0.42	0.75
562	0.359	0.61	0.79	0.73	0
563		2.19	0.17	10.99	4.74
564	9.626	22.27	0.5	0.71	6.46
565	1.421	1.88	0.93	0.24	0.6
571	6.029	34.82	0.31	0.9	5.64
572	2.803	7.4	0.6	1.69	3.48
573	18.725	0.11	0.64	6.04	12.82
600	12.834	5.32	0.71	0.4	0.98
601	2.349	18.03	0.58	3.43	3.72
602	19.792	25.4	0.83	1.52	1.66
603		1554.25	0.32	2.97	1.82
605	14.742	322.24	0.73	6.23	13.7
606	3.487	32.27	0.83	1.41	2.92
607		164.51	0.23	5.93	6.94
529W	0.421	1.14	0.47		1.89
547W		1.64	0.06		1.77
548W		0.75			4.06
