mouse	TLR4	TNF	CCL5	CCL2	mReg3
241	0.32	0.4	0.4	0.16	1.2
245	0.43	0.79	0.9	0.46	1.9
246	0.75	2.08	1.3		1.8
247	1.22	1.28	0.8	1.25	3.5
253	1.22	0.65	2.9		0.9
254	1.27	0.61	1.3	0.97	2.6
255	1.53	0.25	0.2	0.37	0.3
261	0.67	0.38	0.2	0.44	0.2
262	0.69	0.33	0.5		2.7
263	0.43	0.2	0.8	0.26	0.3
264	0.66	0.46	1.1	0.69	0.6
271	2.1	1.61	0.7	0.83	3.2
272	0.97	0.96	0.9	1.26	2.2
273	0.16	0.54	1.2		1
274	1.8	0.28	0.3	0.66	0.3
277	0.25	0.27	0.4	0.45	0.1
278	2.35	0.53	0.6	0.65	4.1
279	1.98	1.87	1.3	0.69	3.9
280	0.76	0.58	0.8	0.47	1.6
281	1.51	1.57	1	2.74	5.3
286	0.98	0.29	1.2		0
287	0.71	1.95	1.3	1.08	1
292	0.74	2.7	0.9	0.4	0.9
293	0.35	0.22	1.6	0.07	0.5
299	0.99	0.34	0.3	0.43	0.4
304	0.34	0.21	0.3		0.2
305	0.83	0.58	0.5	0.58	7.2
306	1.17	0.7	1.1	1.64	5
314	0.7	1.76	0.5	0.65	0.1
317	0.43	0.09	0.3		0
318	0.99	2.78	1.6	0.41	0.4
319	0.25	1.05	0.7		3.2
495	1.12	2.02	1.27	2.85	1.88
496	1.49	1.06	0.97	0.98	2.78
497	1.18	0.97	0.73	2.28	1.29
499	0.77	0.49		0.97	2.86
500	1.3	0.49	0.29	0.76	0.99
501	0.98	1.42	0.88	0.32	0.31
502	0.44	0.6	1.25	0.49	0.92
503	0.68	0.78	0.55	0.22	0.93
506	1.27	1.77	1.4	0.91	0.67
507	0.9	0.76		1.45	1.19
509	0.51	0.61	0.2	1.17	0.71
510	1.44	0.84	0.44	0.33	0.58
515	0.99	1.46	0.72	0.63	0.78
517	0.96	0.73	0.48	0.84	0.65
518	1.42	1.29	0.62	0.76	2.09
519	0.95	2.95	1.95	0.81	0.37
521	1.97	1.82	2.22	1.6	1.35
522	1.21	0.51	0.42	0.62	0.2
523	0.84	1.34	0.67	0.52	0.9
524	0.75	0.75	0.42	0.58	1.3
528		1.86	1.74	1.23	0.61
527	0.62	2.27	2.89	1.1	0.41
529	0.25	0.69	3.12	0.36	3.1
530	0.68	1.63	5.1	1.13	5.75
531	1.21	2.89	4.03	0.61	4.36
532	0.76	3.61	1.43	4.72	11.91
533	0.63	1.39	1.37	0.53	1.45
534	1.4	1.22	2.38	0.87	4.09
535	0.65	0.85	3.28	0.52	1.85
536	0.72	2.55	4.44	1.65	5.95
538	0.54	3.84	3.37	1.4	1.16
540	2.2	1.68	2.02	0.64	1.46
541	1.16	3.1	2.18	1.95	2.74
542	0.97	0.99	6.55	0.63	3.19
543	0.85	1.65	9.66	0.46	3.87
544	0.5	1.36	1.11	0.57	3.02
545	0.71	0.63	1.68	0.31	3.4
546	1.05	1.29	2.77	1.48	3.87
547	0.99	1.7	2.25	1.06	1.76
548	1.16	2.79	4.54	1.22	6.25
549	1.04	1.64	1.56	2.55	1.27
550	0.82	0.35	2.61	0.19	0.86
553	0.91	1.38	3.3	1.21	2.22
554	0.74	1.88	6.74	0.65	1.36
555	1.47	1.15	6.78	0.51	5.71
556	1.06	0.91	2.5	1.49	3.08
557	1.01	2.07	2.89	2.69	7.43
558	1.04	1.5	2.53	0.99	0.92
559	0.8	2.3	2.53	1.39	2.56
560	1.43	0.75		0.29	0.59
561		1.05	0.6	0.61	0.49
562	0.64	1.13	0.67	0.94	0.69
563	3.03	5.66	4.73	5.06	5.95
564	0.62	0.93	2.28	0.6	1.28
565	0.75	0.91	6.69	0.85	2.43
571	1.24	6.07	7.53	5.35	3.47
572	1.97	3.08	6.88	0.82	2.66
573	0.59		3.56	2.39	6.47
600	1.29	1.01	1.11	1.89	5.01
601	0.75	1.04	1.24	0.91	5.29
602	1.28	1.35	3.06	0.41	2.5
603	1.51	3.54	2.22	1.82	10.01
605	1.17	6.28	7.68	1.57	1.2
606	0.63	1.78	2.83	0.34	2.09
607	0.84	1.46	2.24	1.21	3
529W	0.82	0.74	0.98	0.68	0.53
547W	0.69	1.34	1.12	0.6	0.42
548W	0.75	0.67	0.38	1.77	1.11
