sampleID	mouse	passage_cycle	cage	litter	diet	ZT	disrupted_clock	clock_group	colitis	genotype	genotype_group	project	timepoint	Transit_Time	Fecal_Mass	Microbiota_Excretion	Microbial_Load
321-2-150min	321	2	B_6	B_1	control	5	no	normal	no	BALBc	WT	extra_study	150min	150	0.0782	22525490508	2.8805e+11
321-2-30min	321	2	B_6	B_1	control	5	no	normal	no	BALBc	WT	extra_study	30min	150	0.1615	38176956037	2.3639e+11
321-2-90min	321	2	B_6	B_1	control	5	no	normal	no	BALBc	WT	extra_study	90min	150	0.1	26612458950	2.66125e+11
330-2-120min	330	2	B_5	B_2	control	5	no	normal	no	BALBc	WT	extra_study	150min	120	0.0425	5451825267	1.28278e+11
330-2-30min	330	2	B_5	B_2	control	5	no	normal	no	BALBc	WT	extra_study	30min	120	0.1442	32459700165	2.25102e+11
330-2-90min	330	2	B_5	B_2	control	5	no	normal	no	BALBc	WT	extra_study	90min	120	0.2931	27936086252	95312474418
346-2-30min	346	2	B_5	B_4	control	5	no	normal	no	BALBc	WT	extra_study	30min	90	0.1677	39995237336	2.38493e+11
346-2-90min	346	2	B_5	B_4	control	5	no	normal	no	BALBc	WT	extra_study	90min	90	0.1769	14650576406	82818408174
348-2-120min	348	2	B_6	B_4	control	5	no	normal	no	BALBc	WT	extra_study	150min	120	0.0186	8079844539	4.344e+11
348-2-30min	348	2	B_6	B_4	control	5	no	normal	no	BALBc	WT	extra_study	30min	120	0.0946	55546994168	5.87178e+11
348-2-90min	348	2	B_6	B_4	control	5	no	normal	no	BALBc	WT	extra_study	90min	120	0.128	48746334386	3.80831e+11
355-2-150min	355	2	B_8	B_5	control	5	no	normal	no	BALBc	WT	extra_study	150min	150	0.0591	8938660777	1.51246e+11
355-2-30min	355	2	B_8	B_5	control	5	no	normal	no	BALBc	WT	extra_study	30min	150	0.2249	36439743350	1.62026e+11
355-2-90min	355	2	B_8	B_5	control	5	no	normal	no	BALBc	WT	extra_study	90min	150	0.1167	24026793819	2.05885e+11
357-2-150min	357	2	B_7	B_5	control	5	no	normal	no	BALBc	WT	extra_study	150min	150	0.0613	19946262349	3.25388e+11
357-2-30min	357	2	B_7	B_5	control	5	no	normal	no	BALBc	WT	extra_study	30min	150	0.0887	31886121629	3.59483e+11
357-2-90min	357	2	B_7	B_5	control	5	no	normal	no	BALBc	WT	extra_study	90min	150	0.1231	26284366228	2.1352e+11
363-2-150min	363	2	B_7	B_6	control	5	no	normal	no	BALBc	WT	extra_study	150min	150	0.0598	26709198067	4.46642e+11
363-2-30min	363	2	B_7	B_6	control	5	no	normal	no	BALBc	WT	extra_study	30min	150	0.0491	20524441453	4.18013e+11
363-2-90min	363	2	B_7	B_6	control	5	no	normal	no	BALBc	WT	extra_study	90min	150	0.2482	62119800505	2.50281e+11
