newID	mouse	passage_cycle	cage	litter	diet	ZT	disrupted_clock	clock_group	colitis	genotype	genotype_group	project	Microbiota_Excretion	Microbial_Load	Fecal_Mass	Transit_Time
241-7	241	7	A_7	A_1	fasting	3	no	normal	no	black6	WT	diet_study	18223508661	1.86E+11	0.0979	212
245-7	245	7	A_8	A_2	fasting	3	no	normal	no	black6	WT	diet_study	14762621024	1.78E+11	0.0828	122
246-7	246	7	A_1	A_2	control	3	no	normal	no	black6	WT	diet_study	37419215923	2.64E+11	0.1418	157
247-7	247	7	A_2	A_2	control	3	no	normal	no	black6	WT	diet_study	66641942979	3.91E+11	0.1706	151
253-7	253	7	A_3	A_3	high_fat	3	no	normal	no	black6	WT	diet_study	91131356219	6.16E+11	0.1479	156
254-7	254	7	A_4	A_3	high_fat	3	no	normal	no	black6	WT	diet_study	70373881850	4.16E+11	0.1691	212
255-7	255	7	A_5	A_3	high_fiber	3	no	normal	no	black6	WT	diet_study	36908295462	8.31E+10	0.4443	191
261-7	261	7	A_6	A_4	high_fiber	3	no	normal	no	black6	WT	diet_study	15859299992	5.30E+10	0.2992	176
262-7	262	7	A_7	A_4	fasting	3	no	normal	no	black6	WT	diet_study	25240045530	2.97E+11	0.0849	217
263-7	263	7	A_8	A_4	fasting	3	no	normal	no	black6	WT	diet_study	33625906223	3.07E+11	0.1096	187
264-7	264	7	A_1	A_4	control	3	no	normal	no	black6	WT	diet_study	46414571072	3.25E+11	0.1426	182
271-7	271	7	A_2	A_5	control	3	no	normal	no	black6	WT	diet_study	35884794658	1.69E+11	0.2126	226
272-7	272	7	A_3	A_5	high_fat	3	no	normal	no	black6	WT	diet_study	54080448583	2.52E+11	0.2143	198
273-7	273	7	A_4	A_5	high_fat	3	no	normal	no	black6	WT	diet_study	1.22E+11	6.97E+11	0.1748	238
274-7	274	7	A_5	A_5	high_fiber	3	no	normal	no	black6	WT	diet_study	30257715995	1.02E+11	0.2973	195
277-7	277	7	A_6	A_6	high_fiber	3	no	normal	no	black6	WT	diet_study	8155081188	3.13E+10	0.2605	106
278-7	278	7	A_7	A_6	fasting	3	no	normal	no	black6	WT	diet_study	16983324686	2.29E+11	0.0742	109
279-7	279	7	A_8	A_6	fasting	3	no	normal	no	black6	WT	diet_study	44323997953	4.59E+11	0.0966	162
280-7	280	7	A_1	A_6	control	3	no	normal	no	black6	WT	diet_study	40420978875	3.21E+11	0.1258	217
281-7	281	7	A_2	A_6	control	3	no	normal	no	black6	WT	diet_study	36454049184	1.95E+11	0.1874	196
286-7	286	7	A_1	A_7	control	3	no	normal	no	black6	WT	diet_study	39314376497	2.96E+11	0.1329	182
287-7	287	7	A_2	A_7	control	3	no	normal	no	black6	WT	diet_study	32868923069	2.84E+11	0.1156	151
292-7	292	7	A_3	A_8	high_fat	3	no	normal	no	black6	WT	diet_study	95601082029	5.31E+11	0.1801	190
293-7	293	7	A_4	A_8	high_fat	3	no	normal	no	black6	WT	diet_study	63514156410	6.73E+11	0.0944	172
