mouse	baseline	start_TRF	GI_experiment	end
495	25.6	24.6	26.3	27.5
500	25.3	24	26.1	27.6
563	22.1	22.5	25.1	26.7
542	24.2	23.8	23.6	
506	24.1	25.3	25.3	27.5
515	20.8	22	22.6	22.9
572	21.2	23.2	24.3	26.5
529	22	23.4	23.4	
534	26.1	26.2	28.3	
560	24	26.2	26.6	28.5
549	21.5	21.3	22.7	24.8
555	23.3	22.9		
602	21.5	22.9	24.4	27.2
518	22.1	23.3	24.2	24.2
521	24.1	25.2	26.3	26.8
605	22.5	24	26.2	
540	25.3	25.2	24.4	
496	26.7	27	29.9	31.9
501	27.5	26.3	29.8	28.6
564	21	21.5	26	27.3
533	23.1	21.8	26.2	28.1
510	22.5	23.8	27.2	27.3
550	23	25.2	26.1	25.7
558	23.7	23.7	27.3	
531	25.7	25.3	25.5	
547	23	23.8	26.2	28.7
561	24.4	24.5	29	32.4
522	26.2	23.8	29.2	29.6
606	23.2	23.1	28.3	29.8
548	22.7	22.8		
519	27.8	22.8	25	26.2
528	26.9	28.6	31.4	32.5
541	23.1	24.2	26	31
603	21.2	22.1	25.9	27.6
554	23	23.4		
497	25.2	25.9	26.6	27.8
502	22.8	23.9	25.4	27.5
565	21.6	22.5	23.4	25.6
530	23.3	23.2	24.2	
507	23.1	24.8	25.5	26.2
529W	26.7	28	30.4	33.5
573	20.7	22.8	23.4	24.1
538	24.8	24.3	25.6	
546	23.2	24.2	24.7	27
517	22.4	22.9	23.4	25.4
524	24.2	24.6	25.2	26.4
545	22.1	22.6	24.1	25.5
553	23.5	22.7	23.6	22.1
562	27.3	27.1	28.4	30.8
548W	22.5	24.6	25.9	26.2
535	22.2	23.6	25.5	
556	22.6	22.8	24.4	24.5
600	20.1	23	23.2	25.6
499	22.9	21.2	27.1	29.8
508	23.2	24.6	27.3	
557	22.4	23.4	27.2	26.8
544	23.6	21.7	26.3	29.3
516	22.3	23.9	25.1	
547W	23.7	24.7	25.1	27.6
532	25.9	25	22.3	
607	22.3	23.8	27.7	30.6
503	24.5	25.2	27.8	29.1
527	26.1	28	29.4	31.1
559	22.9	23.9	27	29.2
543	24.6	25.2	28.3	30.6
509	23.1	23.4	26.8	28.3
523	27.3	26.8	30.2	28.6
601	21.5	22	24.6	27
536	24.8	25.7	28.5	30.8
571	20.9	22.7	24.9	
