mouse	cage	diet	before_adaption	baseline	cycle_1	regular_1	regular_2	cycle_2
246	1	control	15.3	15.6	16.7	16.4	16.8	17
264	1	control	17.8	17.2	17.5	19	19.6	18.3
280	1	control	19	18.7	18.5	19.2	19.6	18.4
286	1	control	17.8	18.2	17.9	18.4	19.6	19
247	2	control	17.9	18	18.1	19.8	19.6	19.5
271	2	control	17.3	17.9	19.6	18.3	19	18.3
281	2	control	18	18.9	17.5	20.1	20.1	19.5
287	2	control	17.9	18.1	18	19.1	20.2	19.2
253	3	high-fat	17.3	17.7	19	19.6	21	21.9
272	3	high-fat	17.8	17.5	18.3	19.2	19.7	19.7
292	3	high-fat	16.9	17.2	18.4	19.6	21	21.8
318	3	high-fat	18.5	19.4	21.6	23.1	25.2	26.6
254	4	high-fat	19.1	18.7	19.2	20.1	21.1	22.1
273	4	high-fat	18	18.3	19.4	21	22.6	22.8
293	4	high-fat	17.8	18	18.4	19.2	20.1	20.1
319	4	high-fat	18.4	18.2	19.1	20	21.9	22.3
255	5	high-fiber	18	18	18.4	19.6	19.8	19.8
274	5	high-fiber	17	17.6		18.7	19.2	18.5
299	5	high-fiber	19	19.4	19.7	20.9	20.6	20.3
314	5	high-fiber	17.7	17.7	18	19.5	19.9	19.1
261	6	high-fiber	16.3	17.7	17.6	19.1	19.4	18.5
277	6	high-fiber	18.1	17.2	18	18.8	19	18.9
304	6	high-fiber	18.6	18.5	18.9	20.2	20.8	20.1
317	6	high-fiber	18.8	19.6	19.4	20.2	21.4	21.3
241	7	fasting	16.3	16.7	14.9	18.1	18.9	17.2
262	7	fasting	17.3	17.7	15.7	19.6	20	17.2
278	7	fasting	16.3	17.7	15.2	18.4	18.6	16.8
305	7	fasting	19.4	19.4	17.4	20.8	23.8	18.9
245	8	fasting	17.5	18	16.3	19.3	19.5	18
263	8	fasting	18.9	19.4	17.4	20	21.4	18.6
279	8	fasting	17.2	18	15.9	18.9	20	17.7
306	8	fasting	19.8	19.7	18.1	20.7	22.5	19
